date,crop_type,region,price_ngn_per_kg,month,day_of_year,day_of_week,seasonal_factor
2024-07-01,tomato,lagos,765.25,7,183,0,0.92
2024-07-02,tomato,lagos,728.16,7,184,1,0.92
2024-07-03,tomato,lagos,722.81,7,185,2,0.92
2024-07-04,tomato,lagos,723.1,7,186,3,0.92
2024-07-05,tomato,lagos,830.35,7,187,4,0.92
2024-07-06,tomato,lagos,782.79,7,188,5,0.92
2024-07-07,tomato,lagos,710.1,7,189,6,0.92
2024-07-08,tomato,lagos,770.16,7,190,0,0.92
2024-07-09,tomato,lagos,752.71,7,191,1,0.92
2024-07-10,tomato,lagos,625.65,7,192,2,0.92
2024-07-11,tomato,lagos,679.14,7,193,3,0.92
2024-07-12,tomato,lagos,757.91,7,194,4,0.92
2024-07-13,tomato,lagos,826.35,7,195,5,0.92
2024-07-14,tomato,lagos,726.57,7,196,6,0.92
2024-07-15,tomato,lagos,708.0,7,197,0,0.92
2024-07-16,tomato,lagos,747.11,7,198,1,0.92
2024-07-17,tomato,lagos,705.24,7,199,2,0.92
2024-07-18,tomato,lagos,723.85,7,200,3,0.92
2024-07-19,tomato,lagos,740.64,7,201,4,0.92
2024-07-20,tomato,lagos,678.98,7,202,5,0.92
2024-07-21,tomato,lagos,790.88,7,203,6,0.92
2024-07-22,tomato,lagos,669.85,7,204,0,0.92
2024-07-23,tomato,lagos,663.74,7,205,1,0.92
2024-07-24,tomato,lagos,754.66,7,206,2,0.92
2024-07-25,tomato,lagos,787.17,7,207,3,0.92
2024-07-26,tomato,lagos,753.76,7,208,4,0.92
2024-07-27,tomato,lagos,736.98,7,209,5,0.92
2024-07-28,tomato,lagos,726.24,7,210,6,0.92
2024-07-29,tomato,lagos,717.03,7,211,0,0.92
2024-07-30,tomato,lagos,807.76,7,212,1,0.92
2024-07-31,tomato,lagos,764.39,7,213,2,0.92
2024-08-01,tomato,lagos,745.97,8,214,3,0.95
2024-08-02,tomato,lagos,546.22,8,215,4,0.95
2024-08-03,tomato,lagos,808.0,8,216,5,0.95
2024-08-04,tomato,lagos,827.99,8,217,6,0.95
2024-08-05,tomato,lagos,812.73,8,218,0,0.95
2024-08-06,tomato,lagos,812.11,8,219,1,0.95
2024-08-07,tomato,lagos,786.44,8,220,2,0.95
2024-08-08,tomato,lagos,756.69,8,221,3,0.95
2024-08-09,tomato,lagos,724.64,8,222,4,0.95
2024-08-10,tomato,lagos,675.21,8,223,5,0.95
2024-08-11,tomato,lagos,812.25,8,224,6,0.95
2024-08-12,tomato,lagos,715.37,8,225,0,0.95
2024-08-13,tomato,lagos,821.95,8,226,1,0.95
2024-08-14,tomato,lagos,735.68,8,227,2,0.95
2024-08-15,tomato,lagos,794.67,8,228,3,0.95
2024-08-16,tomato,lagos,770.66,8,229,4,0.95
2024-08-17,tomato,lagos,834.25,8,230,5,0.95
2024-08-18,tomato,lagos,793.45,8,231,6,0.95
2024-08-19,tomato,lagos,711.54,8,232,0,0.95
2024-08-20,tomato,lagos,784.04,8,233,1,0.95
2024-08-21,tomato,lagos,813.68,8,234,2,0.95
2024-08-22,tomato,lagos,685.14,8,235,3,0.95
2024-08-23,tomato,lagos,832.01,8,236,4,0.95
2024-08-24,tomato,lagos,751.09,8,237,5,0.95
2024-08-25,tomato,lagos,690.21,8,238,6,0.95
2024-08-26,tomato,lagos,757.11,8,239,0,0.95
2024-08-27,tomato,lagos,724.19,8,240,1,0.95
2024-08-28,tomato,lagos,694.12,8,241,2,0.95
2024-08-29,tomato,lagos,714.97,8,242,3,0.95
2024-08-30,tomato,lagos,899.92,8,243,4,0.95
2024-08-31,tomato,lagos,769.5,8,244,5,0.95
2024-09-01,tomato,lagos,788.68,9,245,6,1.0
2024-09-02,tomato,lagos,783.3,9,246,0,1.0
2024-09-03,tomato,lagos,820.02,9,247,1,1.0
2024-09-04,tomato,lagos,819.57,9,248,2,1.0
2024-09-05,tomato,lagos,771.85,9,249,3,1.0
2024-09-06,tomato,lagos,852.11,9,250,4,1.0
2024-09-07,tomato,lagos,818.12,9,251,5,1.0
2024-09-08,tomato,lagos,845.38,9,252,6,1.0
2024-09-09,tomato,lagos,917.4,9,253,0,1.0
2024-09-10,tomato,lagos,893.54,9,254,1,1.0
2024-09-11,tomato,lagos,965.92,9,255,2,1.0
2024-09-12,tomato,lagos,905.2,9,256,3,1.0
2024-09-13,tomato,lagos,872.33,9,257,4,1.0
2024-09-14,tomato,lagos,783.82,9,258,5,1.0
2024-09-15,tomato,lagos,905.38,9,259,6,1.0
2024-09-16,tomato,lagos,799.6,9,260,0,1.0
2024-09-17,tomato,lagos,953.38,9,261,1,1.0
2024-09-18,tomato,lagos,831.32,9,262,2,1.0
2024-09-19,tomato,lagos,873.77,9,263,3,1.0
2024-09-20,tomato,lagos,763.71,9,264,4,1.0
2024-09-21,tomato,lagos,855.27,9,265,5,1.0
2024-09-22,tomato,lagos,663.84,9,266,6,1.0
2024-09-23,tomato,lagos,772.16,9,267,0,1.0
2024-09-24,tomato,lagos,872.8,9,268,1,1.0
2024-09-25,tomato,lagos,786.82,9,269,2,1.0
2024-09-26,tomato,lagos,793.97,9,270,3,1.0
2024-09-27,tomato,lagos,833.1,9,271,4,1.0
2024-09-28,tomato,lagos,862.54,9,272,5,1.0
2024-09-29,tomato,lagos,893.62,9,273,6,1.0
2024-09-30,tomato,lagos,759.22,9,274,0,1.0
2024-10-01,tomato,lagos,757.69,10,275,1,0.85
2024-10-02,tomato,lagos,693.18,10,276,2,0.85
2024-10-03,tomato,lagos,743.17,10,277,3,0.85
2024-10-04,tomato,lagos,768.88,10,278,4,0.85
2024-10-05,tomato,lagos,651.11,10,279,5,0.85
2024-10-06,tomato,lagos,645.22,10,280,6,0.85
2024-10-07,tomato,lagos,707.11,10,281,0,0.85
2024-10-08,tomato,lagos,685.96,10,282,1,0.85
2024-10-09,tomato,lagos,757.06,10,283,2,0.85
2024-10-10,tomato,lagos,762.53,10,284,3,0.85
2024-10-11,tomato,lagos,837.36,10,285,4,0.85
2024-10-12,tomato,lagos,717.12,10,286,5,0.85
2024-10-13,tomato,lagos,708.41,10,287,6,0.85
2024-10-14,tomato,lagos,732.8,10,288,0,0.85
2024-10-15,tomato,lagos,783.44,10,289,1,0.85
2024-10-16,tomato,lagos,633.6,10,290,2,0.85
2024-10-17,tomato,lagos,709.91,10,291,3,0.85
