date,state,market,crop_type,original_commodity,price_ngn,price_usd,price_type,latitude,longitude
2002-01-15,Katsina,Jibia (CBM),maize,Maize,175.92,1.54,Wholesale,13.08,7.24
2002-01-15,Katsina,Jibia (CBM),millet,Millet,150.18,1.31,Wholesale,13.08,7.24
2002-01-15,Katsina,Jibia (CBM),rice,Rice (imported),358.7,3.14,Wholesale,13.08,7.24
2002-01-15,Katsina,Jibia (CBM),sorghum,Sorghum,155.61,1.36,Wholesale,13.08,7.24
2002-01-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),196.87,1.72,Wholesale,13.08,7.24
2002-01-15,Sokoto,Illela (CBM),maize,Maize,153.35,1.34,Wholesale,13.64,5.28
2002-01-15,Sokoto,Illela (CBM),millet,Millet,146.95,1.29,Wholesale,13.64,5.28
2002-01-15,Sokoto,Illela (CBM),rice,Rice (imported),337.59,2.95,Wholesale,13.64,5.28
2002-01-15,Sokoto,Illela (CBM),sorghum,Sorghum,141.5,1.24,Wholesale,13.64,5.28
2002-01-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),239.07,2.09,Wholesale,13.64,5.28
2002-02-15,Katsina,Jibia (CBM),maize,Maize,169.76,1.42,Wholesale,13.08,7.24
2002-02-15,Katsina,Jibia (CBM),millet,Millet,148.54,1.24,Wholesale,13.08,7.24
2002-02-15,Katsina,Jibia (CBM),rice,Rice (imported),381.97,3.19,Wholesale,13.08,7.24
2002-02-15,Katsina,Jibia (CBM),sorghum,Sorghum,159.15,1.33,Wholesale,13.08,7.24
2002-02-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),201.59,1.68,Wholesale,13.08,7.24
2002-03-15,Katsina,Jibia (CBM),maize,Maize,181.94,1.56,Wholesale,13.08,7.24
2002-03-15,Katsina,Jibia (CBM),millet,Millet,175.0,1.5,Wholesale,13.08,7.24
2002-03-15,Katsina,Jibia (CBM),rice,Rice (imported),361.11,3.09,Wholesale,13.08,7.24
2002-03-15,Katsina,Jibia (CBM),sorghum,Sorghum,172.22,1.47,Wholesale,13.08,7.24
2002-03-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),233.33,1.99,Wholesale,13.08,7.24
2002-03-15,Sokoto,Illela (CBM),maize,Maize,171.25,1.46,Wholesale,13.64,5.28
2002-03-15,Sokoto,Illela (CBM),millet,Millet,182.36,1.56,Wholesale,13.64,5.28
2002-03-15,Sokoto,Illela (CBM),rice,Rice (imported),345.36,2.95,Wholesale,13.64,5.28
2002-03-15,Sokoto,Illela (CBM),sorghum,Sorghum,174.02,1.49,Wholesale,13.64,5.28
2002-04-15,Katsina,Jibia (CBM),maize,Maize,190.22,1.67,Wholesale,13.08,7.24
2002-04-15,Katsina,Jibia (CBM),millet,Millet,187.5,1.64,Wholesale,13.08,7.24
2002-04-15,Katsina,Jibia (CBM),rice,Rice (imported),331.52,2.9,Wholesale,13.08,7.24
2002-04-15,Katsina,Jibia (CBM),sorghum,Sorghum,184.78,1.62,Wholesale,13.08,7.24
2002-04-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),244.57,2.14,Wholesale,13.08,7.24
2002-04-15,Sokoto,Illela (CBM),maize,Maize,188.37,1.65,Wholesale,13.64,5.28
2002-04-15,Sokoto,Illela (CBM),millet,Millet,189.76,1.66,Wholesale,13.64,5.28
2002-04-15,Sokoto,Illela (CBM),rice,Rice (imported),357.34,3.13,Wholesale,13.64,5.28
2002-04-15,Sokoto,Illela (CBM),sorghum,Sorghum,185.59,1.63,Wholesale,13.64,5.28
2002-04-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),415.52,3.64,Wholesale,13.64,5.28
2002-05-15,Katsina,Jibia (CBM),maize,Maize,208.67,1.83,Wholesale,13.08,7.24
2002-05-15,Katsina,Jibia (CBM),millet,Millet,195.12,1.71,Wholesale,13.08,7.24
2002-05-15,Katsina,Jibia (CBM),rice,Rice (imported),349.59,3.06,Wholesale,13.08,7.24
2002-05-15,Katsina,Jibia (CBM),sorghum,Sorghum,195.12,1.71,Wholesale,13.08,7.24
2002-05-15,Katsina,Jibia (CBM),cowpea,Beans (niebe),242.53,2.12,Wholesale,13.08,7.24
2002-05-15,Sokoto,Illela (CBM),maize,Maize,189.04,1.66,Wholesale,13.64,5.28
2002-05-15,Sokoto,Illela (CBM),millet,Millet,191.74,1.68,Wholesale,13.64,5.28
2002-05-15,Sokoto,Illela (CBM),rice,Rice (imported),353.53,3.1,Wholesale,13.64,5.28
2002-05-15,Sokoto,Illela (CBM),sorghum,Sorghum,186.26,1.63,Wholesale,13.64,5.28
2002-05-15,Sokoto,Illela (CBM),cowpea,Beans (niebe),419.14,3.67,Wholesale,13.64,5.28
2002-06-15,Katsina,Jibia (CBM),maize,Maize,222.26,1.9,Wholesale,13.08,7.24
2002-06-15,Katsina,Jibia (CBM),millet,Millet,216.97,1.85,Wholesale,13.08,7.24
2002-06-15,Katsina,Jibia (CBM),rice,Rice (imported),306.89,2.62,Wholesale,13.08,7.24
2002-06-15,Katsina,Jibia (CBM),sorghum,Sorghum,212.99,1.82,Wholesale,13.08,7.24
