crop_type,farm_size_hectares,region,soil_type,rainfall_mm,temperature_celsius,fertilizer_used,yield_kg
cowpea,8.07,Benue,clay,1389.5,31.1,1,8991.5
yam,6.21,Bauchi,clay,828.5,25.6,0,48813.9
yam,6.37,Kano,sandy,224.4,28.8,0,30291.5
rice,5.39,Bauchi,loamy,892.8,27.4,0,17354.4
cowpea,0.63,Lagos,silty,389.3,30.4,0,416.0
rice,1.66,Rivers,silty,888.6,29.5,0,4123.4
pepper,2.48,Kaduna,sandy,328.7,23.9,1,10603.1
pepper,2.36,Lagos,sandy,1675.5,24.0,0,9863.2
yam,6.07,Lagos,silty,596.0,29.2,0,34870.0
cowpea,8.25,Lagos,silty,653.3,29.7,0,7592.2
cowpea,6.69,Kaduna,clay,1132.7,30.5,0,7169.4
yam,7.43,Bauchi,sandy,750.4,26.8,0,55160.5
pepper,8.56,Rivers,sandy,888.1,24.5,0,42048.8
rice,1.52,Benue,silty,1333.2,22.7,1,6171.8
pepper,1.82,Benue,loamy,632.6,27.6,1,17879.4
rice,9.33,Rivers,sandy,1529.5,29.7,1,28392.4
rice,4.46,Plateau,clay,890.4,25.9,1,14780.5
cassava,4.56,Kaduna,loamy,1384.4,19.0,0,41889.6
cassava,3.06,Bauchi,clay,1006.8,25.3,1,34255.1
tomato,9.64,Plateau,clay,1141.4,21.2,0,100649.7
maize,3.03,Kano,sandy,1023.3,26.7,0,6613.9
yam,5.15,Bauchi,sandy,1626.3,29.3,1,37353.3
cassava,2.8,Plateau,silty,1342.5,26.9,1,44465.9
maize,3.55,Plateau,silty,1417.4,27.3,1,10197.4
cassava,7.26,Benue,clay,911.9,26.2,1,90307.5
maize,6.92,Lagos,loamy,212.1,27.6,1,12146.1
cowpea,6.77,Kano,silty,1745.6,34.6,0,4883.8
maize,3.15,Oyo,silty,1512.7,27.3,1,9235.5
maize,6.6,Oyo,loamy,1317.2,24.9,0,17209.6
pepper,4.76,Rivers,loamy,713.3,23.0,1,36019.0
cowpea,7.35,Bauchi,loamy,1453.7,36.2,1,7757.2
pepper,4.23,Plateau,silty,600.7,30.6,1,29659.0
rice,6.85,Lagos,loamy,1198.1,22.3,1,27372.1
pepper,9.19,Oyo,silty,1276.2,28.4,1,89480.2
maize,1.22,Rivers,loamy,956.3,24.6,1,3028.6
pepper,7.11,Bauchi,sandy,551.3,27.7,1,38901.5
tomato,2.91,Kano,sandy,1553.1,25.7,0,32299.0
tomato,8.19,Oyo,sandy,1911.6,28.5,1,124987.7
maize,1.17,Plateau,silty,1227.3,25.8,1,3187.0
tomato,5.66,Rivers,sandy,1680.6,25.8,0,57324.1
pepper,3.38,Oyo,silty,1586.6,25.5,0,22985.1
